"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSRNOG00000012638"	206.616237494213	-0.672861926498765	0.0901573143360052	-7.46319842659789	8.44470245892184e-14	1.51518434119019e-11
"ENSRNOG00000033921"	199.466426136889	0.6877537421623	0.092335536857032	7.44841872991095	9.44655926210408e-14	1.67799232172755e-11
"ENSRNOG00000005341"	108.741801345231	1.55210734397418	0.209279802269694	7.4164220681651	1.20326629061487e-13	2.11619991289028e-11
"ENSRNOG00000018336"	2203.23798161568	0.621988723823016	0.0839209855651517	7.4115993709361	1.24785243039511e-13	2.17309830599102e-11
"ENSRNOG00000002896"	1401.17376783106	-0.399691147760203	0.0541351827811558	-7.38320491825019	1.54523915147232e-13	2.66486243180611e-11
"ENSRNOG00000032994"	24.6402707369618	1.93067831498551	0.261579732971604	7.38084060661953	1.57293227675481e-13	2.68653807999959e-11
"ENSRNOG00000015518"	141.798813736068	1.75743338138169	0.239330445089978	7.34312502833048	2.08663432619658e-13	3.52998909868856e-11
"ENSRNOG00000010731"	355.525362942351	-0.996194440259993	0.13586933385548	-7.33200356542275	2.26737063066678e-13	3.79955702948434e-11
"ENSRNOG00000009730"	113.817391938058	-0.870369921770012	0.120276261641986	-7.23642313028281	4.60672570200427e-13	7.64759520043943e-11
"ENSRNOG00000007378"	327.634852644061	-0.729334359040021	0.100833237564747	-7.23307489330293	4.72178828027667e-13	7.76603011319949e-11
"ENSRNOG00000047300"	69.6590381905712	1.83126228932471	0.253390334657423	7.22704080958939	4.93631802278378e-13	8.04438688428516e-11
"ENSRNOG00000006365"	122.880511369641	-1.68767067029657	0.233772944878622	-7.21927283404343	5.22662992278303e-13	8.37105550836813e-11
"ENSRNOG00000061544"	39.4479197560984	-1.35708770843995	0.187984196526241	-7.21915849054109	5.23102607346091e-13	8.37105550836813e-11
"ENSRNOG00000019018"	789.420051252972	0.907797104186162	0.126892369845464	7.15407163796942	8.42410674166368e-13	1.33604828618011e-10
"ENSRNOG00000013641"	872.784683333292	-0.495399291274544	0.0693271625732784	-7.14581807312409	8.94614799150761e-13	1.40628696259425e-10
"ENSRNOG00000026177"	3709.6854442384	-0.584645300343571	0.0819156136954242	-7.13716560212048	9.52750377579851e-13	1.48453552253955e-10
